"FTE Staffing Report for 2001-02"

"District","School","Assignment Category","Educator Type","FTE Count"
"Colchester School District","Bacon Academy","General Education - Paraprofessional Instructional Assistants","Non-Certified",3.0
"Colchester School District","Bacon Academy","Library/Media - Support Staff","Non-Certified",1.0
"Colchester School District","Bacon Academy","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",11.0
"Colchester School District","Bacon Academy","School Nurses","Non-Certified",1.0
"Colchester School District","Bacon Academy","Special Education - Paraprofessional Instructional Assistants","Non-Certified",6.0
"Colchester School District","Jack Jackter Intermediate School","General Education - Paraprofessional Instructional Assistants","Non-Certified",12.0
"Colchester School District","Jack Jackter Intermediate School","Library/Media - Support Staff","Non-Certified",1.0
"Colchester School District","Jack Jackter Intermediate School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",12.5
"Colchester School District","Jack Jackter Intermediate School","School Nurses","Non-Certified",1.5
"Colchester School District","Jack Jackter Intermediate School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",11.0
"Colchester School District","William J. Johnston Middle School","General Education - Paraprofessional Instructional Assistants","Non-Certified",2.0
"Colchester School District","William J. Johnston Middle School","Library/Media - Support Staff","Non-Certified",1.0
"Colchester School District","William J. Johnston Middle School","Other Staff Providing Non-Instructional Services/Support","Certified/Non-Certified",7.0
"Colchester School District","William J. Johnston Middle School","School Nurses","Non-Certified",1.0
"Colchester School District","William J. Johnston Middle School","Special Education - Paraprofessional Instructional Assistants","Non-Certified",7.0

